index,case_id,slice_id,pred_path,overlay_path
30,img0002,img0002_slice0088,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0088_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0088_overlay.png
31,img0002,img0002_slice0089,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0089_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0089_overlay.png
32,img0002,img0002_slice0090,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0090_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0090_overlay.png
33,img0002,img0002_slice0091,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0091_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0091_overlay.png
34,img0002,img0002_slice0092,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0092_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0092_overlay.png
35,img0002,img0002_slice0093,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0093_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0093_overlay.png
36,img0002,img0002_slice0094,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0094_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0094_overlay.png
37,img0002,img0002_slice0095,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0095_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0095_overlay.png
38,img0002,img0002_slice0096,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0096_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0096_overlay.png
39,img0002,img0002_slice0097,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0097_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0097_overlay.png
40,img0002,img0002_slice0098,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0098_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0098_overlay.png
41,img0002,img0002_slice0099,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0099_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0099_overlay.png
42,img0002,img0002_slice0100,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0100_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0100_overlay.png
43,img0002,img0002_slice0101,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0101_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0101_overlay.png
44,img0002,img0002_slice0102,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0102_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0102_overlay.png
45,img0002,img0002_slice0103,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0103_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0103_overlay.png
46,img0002,img0002_slice0104,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0104_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0104_overlay.png
47,img0002,img0002_slice0105,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0105_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0105_overlay.png
48,img0002,img0002_slice0106,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0106_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0106_overlay.png
49,img0002,img0002_slice0107,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0107_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0107_overlay.png
50,img0002,img0002_slice0108,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0108_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0108_overlay.png
51,img0002,img0002_slice0109,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0109_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0109_overlay.png
52,img0002,img0002_slice0110,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0110_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0110_overlay.png
53,img0002,img0002_slice0111,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0111_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0111_overlay.png
54,img0002,img0002_slice0112,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0112_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0112_overlay.png
55,img0002,img0002_slice0113,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0113_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0113_overlay.png
56,img0002,img0002_slice0114,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0114_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0114_overlay.png
57,img0002,img0002_slice0115,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0115_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0115_overlay.png
58,img0002,img0002_slice0116,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0116_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0116_overlay.png
59,img0002,img0002_slice0117,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0117_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0117_overlay.png
60,img0002,img0002_slice0118,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0118_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0118_overlay.png
61,img0002,img0002_slice0119,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0119_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0119_overlay.png
62,img0002,img0002_slice0120,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0120_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0120_overlay.png
63,img0002,img0002_slice0121,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0121_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0121_overlay.png
64,img0002,img0002_slice0122,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0122_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0122_overlay.png
65,img0002,img0002_slice0123,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0123_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0123_overlay.png
66,img0002,img0002_slice0124,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0124_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0124_overlay.png
67,img0002,img0002_slice0125,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0125_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0125_overlay.png
68,img0002,img0002_slice0126,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0126_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0126_overlay.png
69,img0002,img0002_slice0127,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0127_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0127_overlay.png
70,img0002,img0002_slice0128,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0128_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0128_overlay.png
71,img0002,img0002_slice0129,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0129_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0129_overlay.png
72,img0002,img0002_slice0130,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0130_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0130_overlay.png
73,img0002,img0002_slice0131,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0131_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0131_overlay.png
74,img0002,img0002_slice0132,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0132_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0132_overlay.png
75,img0002,img0002_slice0133,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0133_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0133_overlay.png
76,img0002,img0002_slice0134,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0134_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0134_overlay.png
